category,site,site_type,title,price,shipping,pickup,currency,condition,url,image_url
gundam,eBay,marketplace,1/144 HG Southern Cross Zaku High Mobility Wald Leader Model Kit PB,23.65,0.0,False,USD,New,https://www.ebay.com/itm/178397668965?_skw=gundam&hash=item2989546665:g:FHUAAeSwtH5qe6Ma&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGbhMo2uYhd21ssun%2FyvgMRaomkpnsKavzQ%2FGWFFpQBNWZX2%2BM3dkeSEU2M4MYiBRhM5YRsy5hZOAMGOh1fQtmRSYfyXESnI10hGcwLSVt5%2B8qAjtB%2B5sngevbMx5%2B7HhiUrMBLy5tlKXTqV%2F9k26bZDtC3hbXVOdHO6gbSYwUorxMCzfhJVaK2Czb3Z0k2%2FJZltqSj3%2B2Ls5WcHlLU2vL%2F50HEd8T7yUjVIA0ClhSN3BoIbQMdv5fAAzDmoR%2BDdOOj5t%2FA96LxpU8ewZ3cJzuuu,https://i.ebayimg.com/images/g/FHUAAeSwtH5qe6Ma/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 Gundam FSD w/ Prototype Long Beam Rifle Base Limited Exclusive Kit NEW ,59.99,14.99,False,USD,New,https://www.ebay.com/itm/307139676461?_skw=gundam&hash=item4782f3892d:g:MNAAAeSw5RdqiKlg,https://i.ebayimg.com/images/g/MNAAAeSw5RdqiKlg/s-l225.jpg
gundam,eBay,marketplace,Bandai Hobby Gundam MSN-04 Sazabi Version Ver. Ka MG 1/100 Model Kit USA Seller,116.11,0.0,False,USD,New,https://www.ebay.com/itm/147493295013?_skw=gundam&hash=item22574913a5:g:hiUAAeSw7BNqh~gf,https://i.ebayimg.com/images/g/hiUAAeSw7BNqh~gf/s-l225.jpg
gundam,eBay,marketplace,Bandai #28 Tallgeese RG 1/144 Model Kit - US Fast Ship,39.95,0.0,False,USD,New,https://www.ebay.com/itm/175653540965?_skw=gundam&hash=item28e5c45465:g:r3IAAOSwI-JkE3La,https://i.ebayimg.com/images/g/r3IAAOSwI-JkE3La/s-l225.jpg
gundam,eBay,marketplace,Bandai HG 1/144 Gundam Gusion,16.99,5.99,False,USD,New,https://www.ebay.com/itm/198579026316?_skw=gundam&hash=item2e3c3b798c:g:cn8AAeSwNRJqiMX2,https://i.ebayimg.com/images/g/cn8AAeSwNRJqiMX2/s-l225.jpg
gundam,eBay,marketplace,Gundam Sandrock EW Gundam Wing: Endless Waltz Bandai Hobby MG 1/100,48.0,0.0,False,USD,New,https://www.ebay.com/itm/128011804474?_skw=gundam&hash=item1dce191f3a:g:FRMAAeSwlDZqcvyh,https://i.ebayimg.com/images/g/FRMAAeSwlDZqcvyh/s-l225.jpg
gundam,eBay,marketplace,"Gundam Barbatos Gundam IBO, Bandai Hobby MG 1/100",61.0,0.0,False,USD,New,https://www.ebay.com/itm/188555189299?_skw=gundam&hash=item2be6c3dc33:g:Z90AAeSwArRqO~F4,https://i.ebayimg.com/images/g/Z90AAeSwArRqO~F4/s-l225.jpg
gundam,eBay,marketplace,Bandai Spirits Gundam Hathaway's Flash HGUC Messer F-1 HG 1/144 Model Kit USA,38.95,0.0,False,USD,New,https://www.ebay.com/itm/147459028566?_skw=gundam&hash=item22553e3656:g:1HgAAeSw9KNqh6zP,https://i.ebayimg.com/images/g/1HgAAeSw9KNqh6zP/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 Red Comet Zaku Gundam Model Kit Assembly Action Figure Collectible Toy,13.99,0.0,False,USD,New,https://www.ebay.com/itm/366434240113?_skw=gundam&hash=item55512ec671:g:VmoAAeSwkuZqFQ1u,https://i.ebayimg.com/images/g/VmoAAeSwkuZqFQ1u/s-l225.jpg
gundam,eBay,marketplace,Bandai Hobby Gundam SEED #58 Astray Red Frame Flight Unit HG 1/144 Model Kit USA,27.95,0.0,False,USD,New,https://www.ebay.com/itm/147473998686?_skw=gundam&hash=item225622a35e:g:H5EAAeSw0yNqiKAF,https://i.ebayimg.com/images/g/H5EAAeSw0yNqiKAF/s-l225.jpg
gundam,eBay,marketplace,Bandai Gundam HGUC LM312V04 Victory Gundam HG 1/144 Scale Model Kit USA Seller,21.95,0.0,False,USD,New,https://www.ebay.com/itm/137543796896?_skw=gundam&hash=item20063fc8a0:g:z6YAAeSw8fdqgFe4,https://i.ebayimg.com/images/g/z6YAAeSw8fdqgFe4/s-l225.jpg
gundam,eBay,marketplace,Bandai G-Gundam GOD GUNDAM RG 1/144 Model Kit USA Seller,45.95,0.0,False,USD,New,https://www.ebay.com/itm/137549333057?_skw=gundam&hash=item2006944241:g:U8UAAeSwhthqg~gU,https://i.ebayimg.com/images/g/U8UAAeSwhthqg~gU/s-l225.jpg
gundam,eBay,marketplace,Bandai HG Strike Noir Gundam,19.99,5.99,False,USD,New,https://www.ebay.com/itm/198512677862?_skw=gundam&hash=item2e384713e6:g:vOAAAeSwAzZqW~Cz,https://i.ebayimg.com/images/g/vOAAAeSwAzZqW~Cz/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 GAT-X105 Mobile Suit Assembly Action Figure Model 6610B 7-Eleven Colors,16.99,0.0,False,USD,New,https://www.ebay.com/itm/398101593829?_skw=gundam&hash=item5cb0b43ee5:g:YeIAAeSwX61qO5kJ&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZsenMC87K0TI6P87ivf0e5cwZDaUWYRPisEVvSNU5vNmEUbSzz2D5hE%2BiaeUFYvrxaeyi%2BLmOr%2BIvnctJH--Wv8WdUBSDy07XBIHGzX3IH4vcsh%2B7sQxszqNtNB11YKoxEyx7o27dVtfANWMGvvCsOFv3LUTJNVYH0TYg1MRAmpM2GPVepohv8qKJV4FRiLj6JKrJG4nqfbvIDSuERmOTxKoi6f1FqK%2BdfBCiLu5hgoBQqEeg24kGoKFQ3zAMRcBAfL5ZLiOHZgZIlAA9jE8ZF,https://i.ebayimg.com/images/g/YeIAAeSwX61qO5kJ/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 MS-07H-8 Gouf Flight Type Model Kit Anime Action Figure Toy Gift,29.9,0.0,False,USD,New,https://www.ebay.com/itm/389966307054?_skw=gundam&hash=item5acbcd9eee:g:wuQAAeSwI-5p9lHJ&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGad3ZpiaSeR1G1%2FltR8Yn6LCibbPz9KXTeQJ0VIt11csO8m81%2BJNs2zM3X2c%2BJjdAUogYte2P5oXdJpjkNT2bRdq1kALhxWL3D0C5mmCG3lQIXwykFTNx7bnNWrO2Q5vrvP8UUvMG15dZsMn3o6eopVtZZ8yEkvy88auUG%2Fc0KlTcmS3q5ZnGM2cHP8MHKkHsR4GtoFUjyRVT5VO2iFfNCQl%2FGmVKeBdDdDAXPPIDnipM7iN73b1helkMvlnGro4kTLXS9xjdSnrB6yp9Q%2B6dQW,https://i.ebayimg.com/images/g/wuQAAeSwI-5p9lHJ/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 Gundam Lfrith Jiu XGF-01 The Witch From Mercury Model Kit Figure Toy,21.99,0.0,False,USD,New,https://www.ebay.com/itm/236909488384?_skw=gundam&hash=item3728e7e900:g:ul8AAeSwoaFqROJT&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZgRyKwFlyD5LGmS1OjbJwds1dEqq8rodcyXyXDoSiOWhCCZ%2Bqn2mYYOl8TnanimdPLewnbtZqQM0ifZmUOHM91zqzetaYH8xPUnVHs2cpEID4k4S817BcVKFqy875i%2FtspC8cN9UHMRuOs%2B6njzatzRKVt63x7Ql8e7ReCA%2FucHHHDH6ZFRQO5WuwBBYYFqjUym4vfuIELOzL1HEgbDPl9nJR%2F3MJh8fZIqAvg7%2FHeDB5k3mOyuWbH%2Bv9EuVKZ8IgSBWG5vZTNTFc16uPNaGMu,https://i.ebayimg.com/images/g/ul8AAeSwoaFqROJT/s-l225.jpg
gundam,eBay,marketplace,HG 1/144 GTO MS-06C-6/R6 Zaku II Type C-6 Mecha Model Kit Figure Toy Gift Robots,17.99,0.0,False,USD,New,https://www.ebay.com/itm/236819433301?_skw=gundam&hash=item372389c755:g:FFEAAeSwkB5qCBOj&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGb4FdVrI3w0FL1L%2FJUY999B4rMS4yP2Zyhuf4NcZyu7zYhefaxtnNQH8Sojjp3rtb6Vk%2FTKVvDwJ8LQYPcN8nfAufO%2BG8tMMZW4Y8UNQoAoeTZlRH8YRjZO4WrtWSnBTPC%2F9gDGOnHhGXgj7APO1U7dnloUN3jDPzEb7VOJX4%2BfWj9hHW4ZKYkdOaKXJ4vHwDCffEPmhAxrMqvlStKnskcefKunc22oNw8OC0ZMtXb8FPQ%2BcqMdRIzqfST1IEAQqANin7PxdFlvf76VKE9h6Bs9,https://i.ebayimg.com/images/g/FFEAAeSwkB5qCBOj/s-l225.jpg
gundam,eBay,marketplace,RG 1/144 RX-78-2 Gundam RG 1/144 MS-06S Zaku II Hatsune Miku Ver. Set of 2,170.0,0.0,False,USD,New,https://www.ebay.com/itm/227364928600?_skw=gundam&hash=item34f0017c58:g:V70AAeSwrWBqGwuX,https://i.ebayimg.com/images/g/V70AAeSwrWBqGwuX/s-l225.jpg
gundam,eBay,marketplace,Bandai Hobby Gundam MS-06F Zaku II RG 1/144 Model Kit USA Seller,38.02,0.0,False,USD,New,https://www.ebay.com/itm/137576181708?_skw=gundam&hash=item20082defcc:g:zK8AAeSwu3Zqh~-o,https://i.ebayimg.com/images/g/zK8AAeSwu3Zqh~-o/s-l225.jpg
gundam,eBay,marketplace,MG 1/100 Dom (New Ver.) Mobile Suit Gundam Model Kit Bandai Hobby,44.99,0.0,False,USD,New,https://www.ebay.com/itm/287484536105?_skw=gundam&hash=item42ef69e529:g:KJEAAeSwxMpqZYx~,https://i.ebayimg.com/images/g/KJEAAeSwxMpqZYx~/s-l225.jpg
gundam,eBay,marketplace,Bandai HGGT Zaku II + Big Gun Set (Gundam Thunderbolt Ver.) 1/144 Model Kit - US,61.95,0.0,False,USD,New,https://www.ebay.com/itm/177850491020?_skw=gundam&hash=item2968b7208c:g:-iAAAeSwcPZpisYb,https://i.ebayimg.com/images/g/-iAAAeSwcPZpisYb/s-l225.jpg
gundam,eBay,marketplace,Bandai Hobby The Witch From Mercury Gundam Aerial HG 1/144 Scale Model Kit,19.95,0.0,False,USD,New,https://www.ebay.com/itm/147106937892?_skw=gundam&hash=item224041bc24:g:dE8AAeSwz0JqiGBu,https://i.ebayimg.com/images/g/dE8AAeSwz0JqiGBu/s-l225.jpg
