category,product_type,site,site_type,ships_from,title,price,shipping,pickup,currency,condition,url,image_url
gundam,model_kit,eBay,marketplace,us,Bandai Gundam Stardust Memory HGUC MS-06F Zaku II FZ HG 1/144 Model Kit USA,26.08,0.0,False,USD,New,https://www.ebay.com/itm/137620839610?_skw=gundam&hash=item200ad75cba:g:HukAAeSw131qig2a,https://i.ebayimg.com/images/g/HukAAeSw131qig2a/s-l225.jpg
gundam,cards,eBay,marketplace,international,Domon Kasshu R GD05-097 Promo V Jump Freedom Ascension Gundam Card Game Japanese,9.99,0.0,False,USD,Ungraded,https://www.ebay.com/itm/398310756292?_skw=gundam&hash=item5cbd2bcfc4:g:u0kAAeSwpEtqiA6V,https://i.ebayimg.com/images/g/u0kAAeSwpEtqiA6V/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#269 Gouf Ignited (Heine Westenfluss Custom) Mobile Suit Gundam SEED DESTINY, B",34.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688941?_skw=gundam&hash=item2980a0ebed:g:AqQAAeSwiRFqO~Gn,https://i.ebayimg.com/images/g/AqQAAeSwiRFqO~Gn/s-l225.jpg
gundam,cards,eBay,marketplace,international,Presale Gundam Card Game ~ EX Base EXBP-033 Char & MSN-02 Zeong Promo Card 9/26,33.33,0.0,False,USD,Ungraded,https://www.ebay.com/itm/407149107183?_skw=gundam&hash=item5ecbfa57ef:g:8s0AAeSwvLhqgd4s,https://i.ebayimg.com/images/g/8s0AAeSwvLhqgd4s/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#6 Z'Gok Mobile Suit Gundam, Bandai Hobby HGUC 1/144",12.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688855?_skw=gundam&hash=item2980a0eb97:g:eFEAAeSwBsFqO~It,https://i.ebayimg.com/images/g/eFEAAeSwBsFqO~It/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#128 Master Gundam & Fuunsaiki G Gundam, Bandai Hobby 1/144 HGFC",35.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688945?_skw=gundam&hash=item2980a0ebf1:g:GAsAAeSwj-dqO~Ru,https://i.ebayimg.com/images/g/GAsAAeSwj-dqO~Ru/s-l225.jpg
gundam,cards,eBay,marketplace,us,Gundam TCG Encounter Gd04-105 R+ Alternate Alt Full Art Foil Mint,14.0,,False,USD,Ungraded,https://www.ebay.com/itm/206510464152?_skw=gundam&hash=item3014fb9c98:g:pS4AAeSwhPJqimer,https://i.ebayimg.com/images/g/pS4AAeSwhPJqimer/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai MG 1/100 Providence Gundam Z.A.F.T. Mobile Suit ZGMF-X13A MS Model Kit,65.0,,False,USD,New,https://www.ebay.com/itm/820036723990?_skw=gundam&hash=itembeedff6516:g:mYQAAeSwqn9qimin,https://i.ebayimg.com/images/g/mYQAAeSwqn9qimin/s-l225.jpg
gundam,cards,eBay,marketplace,international,Gundam Card Game EX Base ~ EXBP-032 Amuro & Gundam Ace Promo Japanese PSL,33.33,0.0,False,USD,Ungraded,https://www.ebay.com/itm/407149095181?_skw=gundam&hash=item5ecbfa290d:g:lckAAeSwjRtqgd06,https://i.ebayimg.com/images/g/lckAAeSwjRtqgd06/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai SD EX-Standard Hello Kitty x RX-78-2 Gundam Plastic Model Kit NEW Sealed,35.99,,True,USD,New,https://www.ebay.com/itm/117373147829?_skw=gundam&hash=item1b53fc1ab5:g:BeYAAeSw0yNqimA5,https://i.ebayimg.com/images/g/BeYAAeSw0yNqimA5/s-l225.jpg
