category,product_type,site,site_type,title,price,shipping,pickup,currency,condition,url,image_url
gundam,cards,eBay,marketplace,Gundam Card Game TCG: Freedom Ascension GD05 ENGLISH Booster Box,189.99,4.99,False,USD,New/Factory Sealed,https://www.ebay.com/itm/137648670118?_skw=gundam&hash=item200c8005a6:g:Ex0AAeSwuxVqiQTk,https://i.ebayimg.com/images/g/Ex0AAeSwuxVqiQTk/s-l225.jpg
gundam,model_kit,eBay,marketplace,Bandai Gundam Stardust Memory HGUC MS-06F Zaku II FZ HG 1/144 Model Kit USA,24.92,0.0,False,USD,New,https://www.ebay.com/itm/137620839610?_skw=gundam&hash=item200ad75cba:g:cfAAAeSwQe1qiTH3,https://i.ebayimg.com/images/g/cfAAAeSwQe1qiTH3/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam Card Game EX Base ~ EXBP-032 Amuro & Gundam Ace Promo Japanese PSL,33.33,0.0,False,USD,Ungraded,https://www.ebay.com/itm/407149095181?_skw=gundam&hash=item5ecbfa290d:g:lckAAeSwjRtqgd06,https://i.ebayimg.com/images/g/lckAAeSwjRtqgd06/s-l225.jpg
gundam,cards,eBay,marketplace,Presale Gundam Card Game ~ EX Base EXBP-033 Char & MSN-02 Zeong Promo Card 9/26,33.33,0.0,False,USD,Ungraded,https://www.ebay.com/itm/407149107183?_skw=gundam&hash=item5ecbfa57ef:g:8s0AAeSwvLhqgd4s,https://i.ebayimg.com/images/g/8s0AAeSwvLhqgd4s/s-l225.jpg
gundam,cards,eBay,marketplace,Bandai Gundam Card Game Gundam Barbatos 1st Form LR Illus Rare Foil GD02-054,29.0,,False,USD,Ungraded,https://www.ebay.com/itm/398313178130?_skw=gundam&hash=item5cbd50c412:g:wtMAAeSwRHNqiRsd,https://i.ebayimg.com/images/g/wtMAAeSwRHNqiRsd/s-l225.jpg
gundam,cards,eBay,marketplace,Domon Kasshu R GD05-097 Promo V Jump Freedom Ascension Gundam Card Game Japanese,9.99,0.0,False,USD,Ungraded,https://www.ebay.com/itm/398310756292?_skw=gundam&hash=item5cbd2bcfc4:g:u0kAAeSwpEtqiA6V,https://i.ebayimg.com/images/g/u0kAAeSwpEtqiA6V/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam Card Game 1st Anniversary Resource Card Pack Sealed Bandai Set of 8,60.0,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/298608013757?_skw=gundam&hash=item45866cb1bd:g:eFkAAeSwcHNqTAGb,https://i.ebayimg.com/images/g/eFkAAeSwcHNqTAGb/s-l225.jpg
gundam,model_kit,eBay,marketplace,"#6 Z'Gok Mobile Suit Gundam, Bandai Hobby HGUC 1/144",12.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688855?_skw=gundam&hash=item2980a0eb97:g:eFEAAeSwBsFqO~It,https://i.ebayimg.com/images/g/eFEAAeSwBsFqO~It/s-l225.jpg
gundam,model_kit,eBay,marketplace,"#128 Master Gundam & Fuunsaiki G Gundam, Bandai Hobby 1/144 HGFC",35.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688945?_skw=gundam&hash=item2980a0ebf1:g:GAsAAeSwj-dqO~Ru,https://i.ebayimg.com/images/g/GAsAAeSwj-dqO~Ru/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam Card Game GD05-097 Domon Kasshu Promo X 4 Illustration by Toyotar Japan,19.91,4.0,False,USD,Ungraded,https://www.ebay.com/itm/407160149071?_skw=gundam&hash=item5ecca2d44f:g:fR4AAeSwv9Nqh981,https://i.ebayimg.com/images/g/fR4AAeSwv9Nqh981/s-l225.jpg
gundam,cards,eBay,marketplace,GUNDAM TCG FREEDOM ASCENSION GD05 BOOSTER BOX Factory Sealed 24 Packs English,209.95,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/168611055113?_skw=gundam&hash=item2742008609:g:v38AAeSweu9qfdB7,https://i.ebayimg.com/images/g/v38AAeSweu9qfdB7/s-l225.jpg
gundam,model_kit,eBay,marketplace,"#269 Gouf Ignited (Heine Westenfluss Custom) Mobile Suit Gundam SEED DESTINY, B",34.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688941?_skw=gundam&hash=item2980a0ebed:g:AqQAAeSwiRFqO~Gn,https://i.ebayimg.com/images/g/AqQAAeSwiRFqO~Gn/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam Card Game Domon Kasshu GD005-097 V Jump Promo Toyotaro Japanese,19.99,0.0,False,USD,Ungraded,https://www.ebay.com/itm/168629344756?_skw=gundam&hash=item27431799f4:g:6QcAAeSwyIRqh7Uh,https://i.ebayimg.com/images/g/6QcAAeSwyIRqh7Uh/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam Card Game: Card Case Set with Dice Case [EVX09] Japanese New,229.0,28.0,False,USD,New,https://www.ebay.com/itm/198565711172?_skw=gundam&hash=item2e3b704d44:g:gTAAAeSwjSBqfGSr&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGay%2FYehNGeByjJasRWuYNAnzNX8Sz9cV8Ni26K0i%2B%2BuRfYVg%2FY4f%2BqGOIR0ay%2FXAy1WOKcu6cHcV2Ao7EOkZi4qbynKM8V5kxyIbhRw5f7mvU%2BjDoyHULO%2BzABvX2kGI1y%2Fjs78f8hqBb6T%2B755PYFyVhd6eWSGh1SDURGmuHo8fSnnGabRuA2EOEcq01fbkwBNZ%2BvW7jfD7oW8uGj8iMhGjJj8O4Gww0Rpuxx83AlVOBkVp6rfzOFIK9Du%2FxtZnZz0ItMaUyOgLAO70P2YpYcu,https://i.ebayimg.com/images/g/gTAAAeSwjSBqfGSr/s-l225.jpg
gundam,cards,eBay,marketplace,US STOCK GUNDAM CARD GAME 2026 Chinese New Year Red Pocket Promo SEALED EXRP-014,24.99,0.0,False,USD,New,https://www.ebay.com/itm/206099667027?_skw=gundam&hash=item2ffc7f5853:g:xEoAAeSwdAxpoiCP&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZy5mx79cG%2FxgduiaBqaIS%2Bsm5%2FoossTWTzvMJxad9y%2BRMxFYeu5Wc562HruJYQ%2Btw3yMfiPUrYvRu8TIotRMsLMfE%2FFmLNp4lE1BsnvEGSYdr480WWyfnUCIyda8%2F631DBCyo64dwtedripxtnAQTeNf7OC5cn5lwY47Dr1QB3n2pp5ZAi3mH80hKyJn2PFh%2FblMPTg3lGSrZvN%2BykAF4h7%2B0z6JpuUNhlidPTKPbPVTGlMgU7aikAsKqPZV9pIOarlVorUpe7LWJw8qXqEzQe,https://i.ebayimg.com/images/g/xEoAAeSwdAxpoiCP/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam CCG Freedom Ascension Sazabi GD05-052 [R+] Alt Art NM,19.34,0.0,False,USD,Ungraded,https://www.ebay.com/itm/820034612997?_skw=gundam&hash=itembeeddf2f05:g:X6YAAeSwALdqiaLv,https://i.ebayimg.com/images/g/X6YAAeSwALdqiaLv/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam Card Game Freedom Ascension Booster Box GD05 BANDAI English *SHIPS NOW*,224.99,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/318735485830?_skw=gundam&hash=item4a361d8b86:g:q1AAAeSw86VqZo6m,https://i.ebayimg.com/images/g/q1AAAeSw86VqZo6m/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam Card Game Darkness Finger GD05-110 R Rare NM Master Gundam Command,3.0,,False,USD,Ungraded,https://www.ebay.com/itm/800546964022?_skw=gundam&hash=itemba64514236:g:f6EAAeSwhrBqgSLA,https://i.ebayimg.com/images/g/f6EAAeSwhrBqgSLA/s-l225.jpg
gundam,model_kit,eBay,marketplace,Gundam Sandrock EW Gundam Wing: Endless Waltz Bandai Hobby MG 1/100,48.0,0.0,False,USD,New,https://www.ebay.com/itm/128011804474?_skw=gundam&hash=item1dce191f3a:g:FRMAAeSwlDZqcvyh,https://i.ebayimg.com/images/g/FRMAAeSwlDZqcvyh/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam Card Game JAP EX Base EXBP-030 P from Dice Case [EVX09] only card [Seal],155.0,8.0,False,USD,Ungraded,https://www.ebay.com/itm/198565796403?_skw=gundam&hash=item2e3b719a33:g:n2QAAeSw5glqfvkc,https://i.ebayimg.com/images/g/n2QAAeSw5glqfvkc/s-l225.jpg
gundam,cards,eBay,marketplace,EX Base Custom Rain RW - Gundam TCG,10.25,6.0,False,USD,Ungraded,https://www.ebay.com/itm/257625804257?_skw=gundam&hash=item3bfbb1cde1:g:AHYAAeSwRo9qYeip,https://i.ebayimg.com/images/g/AHYAAeSwRo9qYeip/s-l225.jpg
gundam,other,eBay,marketplace,V JUMP October 2026 Magazine with Gundam Dragon ball Yugioh All Promo Card,29.91,8.0,False,USD,Like New,https://www.ebay.com/itm/407159174789?_skw=gundam&hash=item5ecc93f685:g:AqQAAeSw1qNqh0Uh,https://i.ebayimg.com/images/g/AqQAAeSw1qNqh0Uh/s-l225.jpg
gundam,model_kit,eBay,marketplace,BAN2535355 Bandai SD-EX Standard Hello Kitty & RX-78-2 Gundam 'Gundam',25.2,,False,USD,New,https://www.ebay.com/itm/198514999088?_skw=gundam&hash=item2e386a7f30:g:tfUAAeSwzDRqaOmK,https://i.ebayimg.com/images/g/tfUAAeSwzDRqaOmK/s-l225.jpg
gundam,model_kit,eBay,marketplace,"#19 Char's Z'Gok Mobile Suit Gundam, Bandai Hobby HGUC 1/144",12.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688883?_skw=gundam&hash=item2980a0ebb3:g:dFMAAeSwlmBqO~Ii,https://i.ebayimg.com/images/g/dFMAAeSwlmBqO~Ii/s-l225.jpg
gundam,cards,eBay,marketplace,Gundam Card Game Official Card Sleeves 02 Set of 4 New Japan,57.0,0.0,False,USD,New,https://www.ebay.com/itm/137602119648?_skw=gundam&hash=item2009b9b7e0:g:Z4YAAeSwCsZqeIUt,https://i.ebayimg.com/images/g/Z4YAAeSwCsZqeIUt/s-l225.jpg
gundam,model_kit,eBay,marketplace,Bandai HG Strike Noir Gundam,19.99,5.99,False,USD,New,https://www.ebay.com/itm/198512677862?_skw=gundam&hash=item2e384713e6:g:vOAAAeSwAzZqW~Cz,https://i.ebayimg.com/images/g/vOAAAeSwAzZqW~Cz/s-l225.jpg
gundam,model_kit,eBay,marketplace,Bandai Hobby Gundam 00 Gundam Exia Repair II HG 1/144 Model Kit USA Seller,22.89,0.0,False,USD,New,https://www.ebay.com/itm/147474099562?_skw=gundam&hash=item2256242d6a:g:xdcAAeSwkNxqdojS,https://i.ebayimg.com/images/g/xdcAAeSwkNxqdojS/s-l225.jpg
gundam,model_kit,eBay,marketplace,Bandai Mobile Suit Gundam Wing Hero Collection 7-Figures Pilots Set Toy W 2002,39.9,25.6,False,USD,New,https://www.ebay.com/itm/115920289497?_skw=gundam&hash=item1afd633ed9:g:eWsAAOSwnNBXYP-M&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGbrMuQjozEQ%2Fbg%2F5XtTmAPsPwu%2Ff7Hk8qL8Urx9JlYqoQQjdOBWjH0%2BTbzMPDP22jf9OUm%2B7kvtYrzlWZzR3pOSQIHmzW4uN40gyCppf2Zpf755kTiohNvXWo6E0HZoRsl06hfxG15GbwgHDnyNGPeA94%2B3wpt7fODVPMRRjsBBMLWysTgeXMeMF1WgCh90%2FgGZEySLGcsRJd%2F3VTMcSvS%2B%2BHBA0MIcseNBjdj70dpLCvCVf8pqjXqTaXl22gS4lFnSGnSmjUHSjAyKPGDh%2BEPv,https://i.ebayimg.com/images/g/eWsAAOSwnNBXYP-M/s-l225.jpg
gundam,model_kit,eBay,marketplace,Gundam Deathscythe Hell Store Tournament 03 R Holo Gundam Promo Card GD03-021 NM,9.98,0.0,False,USD,Ungraded,https://www.ebay.com/itm/177944135414?_skw=gundam&hash=item296e4c06f6:g:ZWUAAeSwBDppr4Vj,https://i.ebayimg.com/images/g/ZWUAAeSwBDppr4Vj/s-l225.jpg
gundam,cards,eBay,marketplace,Bandai V2 Gundam GD01-JOTLR Gundam Card Game Full Art Foil Unit ENG,15.0,,False,USD,Ungraded,https://www.ebay.com/itm/800542056034?_skw=gundam&hash=itemba64065e62:g:4w0AAeSw19lqf~s~,https://i.ebayimg.com/images/g/4w0AAeSw19lqf~s~/s-l225.jpg
gundam,model_kit,eBay,marketplace,Bandai G-Gundam GOD GUNDAM RG 1/144 Model Kit USA Seller,45.95,0.0,False,USD,New,https://www.ebay.com/itm/137549333057?_skw=gundam&hash=item2006944241:g:U8UAAeSwhthqg~gU,https://i.ebayimg.com/images/g/U8UAAeSwhthqg~gU/s-l225.jpg
gundam,model_kit,eBay,marketplace,"BAN2001365 Bandai MG MS-06J Zaku II Ground Type (Ver. 2.0) ""Gundam""",42.3,,False,USD,New,https://www.ebay.com/itm/206501617327?_skw=gundam&hash=item3014749eaf:g:hRUAAeSw-9FqhQpc,https://i.ebayimg.com/images/g/hRUAAeSw-9FqhQpc/s-l225.jpg
gundam,model_kit,eBay,marketplace,"#70 MS-14S Char's Gelgoog Mobile Suit Gundam, Bandai Hobby HGUC",20.0,0.0,False,USD,New,https://www.ebay.com/itm/188555189100?_skw=gundam&hash=item2be6c3db6c:g:FTQAAeSwKXpqO~GC,https://i.ebayimg.com/images/g/FTQAAeSwKXpqO~GC/s-l225.jpg
gundam,model_kit,eBay,marketplace,HG 1/144 GTO MS-06C-6/R6 Zaku II Type C-6 Mecha Model Kit Figure Toy Gift Robots,17.99,0.0,False,USD,New,https://www.ebay.com/itm/236819433301?_skw=gundam&hash=item372389c755:g:FFEAAeSwkB5qCBOj&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGb4FdVrI3w0FL1L%2FJUY999B4rMS4yP2Zyhuf4NcZyu7zYhefaxtnNQH8Sojjp3rtb6Vk%2FTKVvDwJ8LQYPcN8nfAufO%2BG8tMMZW4Y8UNQoAoeTZlRH8YRjZO4WrtWSnBTPBuRn%2BVrImayXKAfU%2Fnz%2Fe613Km5UFgPWzVppoGDHKRdI6K7wXyQE28Ru8uFEIs9GfQyFfn9l2eUa3SivQDstv5CqfSJ4XFHBc9RSK89ifOQ9K0qepcHiqK%2F3YFvgAc49BS%2BW9viu0qkDlk34Ze5mML,https://i.ebayimg.com/images/g/FFEAAeSwkB5qCBOj/s-l225.jpg
gundam,model_kit,eBay,marketplace,HGUC 1/144 MS-08TX/N Efreet Nacht,20.99,0.0,False,USD,New,https://www.ebay.com/itm/406988314291?_skw=gundam&hash=item5ec264d6b3:g:-4YAAeSwIihqKFn3&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGbPBDLgvpfVqERnhcCmKalGE1ad6P5Df%2BjSXibjsh6DMTzkLDzd5Y5UFTsOt%2B4WUUfq%2FoLTAA4nSHC53gNy7FXb9IChSzotZo388%2Fqg9k%2FRvmNSqIslgbw0SmMgZxnpJ%2F%2Booh%2Bus6sJDrrhGKe1Z5Ro230RH1kQqY7djiktmRKODlqHDy3dTNPf81FV6fFsOtR4h6O679motFvrAF03iqSU9PxVGFl5MOV2WpErJvIv2Ka2IIbJF0oC%2FMAfaRfeK72LxY1EEAoXhkJ0YWqCtLjw,https://i.ebayimg.com/images/g/-4YAAeSwIihqKFn3/s-l225.jpg
