category,product_type,site,site_type,ships_from,title,price,shipping,pickup,currency,condition,url,image_url
gundam,model_kit,eBay,marketplace,us,RG Unicorn Gundam 02 Banshee Norm 1:144,10.99,0.0,False,USD,New,https://www.ebay.com/itm/158271800955?_skw=gundam&hash=item24d9bc067b:g:W64AAeSwqwBqoEZi,https://i.ebayimg.com/images/g/W64AAeSwqwBqoEZi/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby Gundam Stardust Memory HGUC F2 Zaku II EFSF HG 1/144 Model Kit USA,26.95,0.0,False,USD,New,https://www.ebay.com/itm/147542598235?_skw=gundam&hash=item225a39625b:g:wDYAAeSwl0BqopDq,https://i.ebayimg.com/images/g/wDYAAeSwl0BqopDq/s-l225.jpg
gundam,cards,eBay,marketplace,us,Gundam Card Game Newtype Rising GD01 Booster Box  English Sealed,424.99,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/278352212670?_skw=gundam&hash=item40cf15b2be:g:8OIAAeSwhthqnqmT,https://i.ebayimg.com/images/g/8OIAAeSwhthqnqmT/s-l225.jpg
gundam,cards,eBay,marketplace,us,Bandai Gundam TCG Freedom Ascension GD05 Special Booster Bundle 01 English ,375.0,,False,USD,New/Factory Sealed,https://www.ebay.com/itm/198630317729?_skw=gundam&hash=item2e3f4a1ea1:g:sngAAeSwGDJqmzdr,https://i.ebayimg.com/images/g/sngAAeSwGDJqmzdr/s-l225.jpg
gundam,cards,eBay,marketplace,international,Gundam Card Game ~ EX Base EXBP-032 Amuro & Gundam Promo Card,15.69,0.0,False,USD,Ungraded,https://www.ebay.com/itm/820057878700?_skw=gundam&hash=itembeef4230ac:g:LfwAAeSw6RlqkW42,https://i.ebayimg.com/images/g/LfwAAeSw6RlqkW42/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby HGAC XXXG-01D2 Gundam Deathscythe Hell HG 1/144 Scale Model Kit,22.95,0.0,False,USD,New,https://www.ebay.com/itm/137549270934?_skw=gundam&hash=item2006934f96:g:8SoAAeSwkzpqoqWR,https://i.ebayimg.com/images/g/8SoAAeSwkzpqoqWR/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Gundam Stardust Memory MS-06F-2 Zaku II F2 Zeon HG 1/144 Model Kit USA,34.95,0.0,False,USD,New,https://www.ebay.com/itm/137689626979?_skw=gundam&hash=item200ef0f963:g:5V4AAeSwK4pqoe3L,https://i.ebayimg.com/images/g/5V4AAeSwK4pqoe3L/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#89 MS-18E Kampfer Gundam 0080, Bandai Hobby HGUC",26.0,0.0,False,USD,New,https://www.ebay.com/itm/177706640897?_skw=gundam&hash=item2960242601:g:UxgAAeSwQERqO~Is,https://i.ebayimg.com/images/g/UxgAAeSwQERqO~Is/s-l225.jpg
gundam,cards,eBay,marketplace,international,Gundam Card Game EX base Amuro & Gundam EXBP-032 Gundam Ace Promo Japanese,15.7,0.0,False,USD,Ungraded,https://www.ebay.com/itm/168648612863?_skw=gundam&hash=item27443d9bff:g:J9EAAeSwskFqkFny,https://i.ebayimg.com/images/g/J9EAAeSwskFqkFny/s-l225.jpg
gundam,cards,eBay,marketplace,international,Presale Gundam Card Game ~ EX Base EXBP-033 Char & MSN-02 Zeong Promo Card 9/26,34.99,0.0,False,USD,Ungraded,https://www.ebay.com/itm/407149107183?_skw=gundam&hash=item5ecbfa57ef:g:8s0AAeSwvLhqgd4s,https://i.ebayimg.com/images/g/8s0AAeSwvLhqgd4s/s-l225.jpg
gundam,other,eBay,marketplace,us,Bandai MG 1/100 Wing Gundam (Ver. Ka) 'Gundam Wing: Endless Waltz',14.44,0.0,False,USD,New,https://www.ebay.com/itm/377483561588?_skw=gundam&hash=item57e3c60a74:g:RLwAAeSweyhqoTV-,https://i.ebayimg.com/images/g/RLwAAeSweyhqoTV-/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#269 Gouf Ignited (Heine Westenfluss Custom) Mobile Suit Gundam SEED DESTINY, B",34.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688941?_skw=gundam&hash=item2980a0ebed:g:AqQAAeSwiRFqO~Gn,https://i.ebayimg.com/images/g/AqQAAeSwiRFqO~Gn/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Full Armor Gundam (Gundam Thunderbolt Ver.) HG GT 1/144 Model Kit - US,42.95,0.0,False,USD,New,https://www.ebay.com/itm/177755063204?_skw=gundam&hash=item29630703a4:g:PIoAAeSwWXhpXy0Y,https://i.ebayimg.com/images/g/PIoAAeSwWXhpXy0Y/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,BAN2091785 Bandai Gundam: High Grade: Universal Century: 1/144: Loto Twin Set,30.81,0.0,False,USD,New,https://www.ebay.com/itm/168641564452?_skw=gundam&hash=item2743d20f24:g:4dQAAeSwbr9qj0UY&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGaSP0Bhsmpgd9WqbJgrA5E%2BWkvofaESc4bqWO1gveyDcZuWF0aMf%2BBdPRwhFK5DPHdN5sjingLklFo7jFXnxrbn0732mW23LPAWZk9Z%2BbYQj5iG5GwJtEQRDiGJpy%2FPZPrl%2FUKvsvBCKl12FqUC%2BZNQeihkd7oDq14k9eumrF%2Bm%2BgNkfKBiVZH8yU0ua6yhND19bcQGu78Wv3aKTP9BPAyO0m%2BTZN7zDPBk%2BjUMpDqeulaEnVhDeVmZ%2FcMyI6McpFVqtmE41izlpLRs%2FyO2utj7,https://i.ebayimg.com/images/g/4dQAAeSwbr9qj0UY/s-l225.jpg
gundam,other,eBay,marketplace,international,Bandai MG Iron Blooded Orphans Gundam Barbatos Lupus Genuine Replacement Parts,17.0,9.99,False,USD,New,https://www.ebay.com/itm/407051243111?_skw=gundam&hash=item5ec6250e67:g:K74AAeSwYCVpJEYr&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGaCB5tPXhX8iKRS5d6sRJ5RNGoEbRFqIVBV2PqHx1V3vSNUe937qiXAIobme%2BwGcvGHWNzBZCExbR%2FyHxN%2BUWgmvX9QFwPNWSFVRu%2FfiF2uMkeMXCJdVpGDG0DnTztLHAOimllbmPGILW8bdcbwfq2tFUNcz8RKjHee6gBlEe%2FAgy3MZoUD53u2oh5AMuYJH2ONiuC99NR4C6yuY%2FzzerWFrrDQHT0WKqCDbG4FesmsV%2FhmT43ZAnRX1LCF%2FsnpzWyyGYCxsnIvzifqtjhynKck,https://i.ebayimg.com/images/g/K74AAeSwYCVpJEYr/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby Gundam Wing Gundam Heavyarms Ver EW MG 1/100 Model Kit USA Seller,52.95,0.0,False,USD,New,https://www.ebay.com/itm/137669937180?_skw=gundam&hash=item200dc4881c:g:x-4AAeSwTy1qoNog,https://i.ebayimg.com/images/g/x-4AAeSwTy1qoNog/s-l225.jpg
gundam,other,eBay,marketplace,us,Gundam Universe MS-06S Char's Zaku 2 (Origin Ver.) GU-SP Target Exclusive,35.88,6.25,False,USD,New,https://www.ebay.com/itm/277589079637?_skw=gundam&hash=item40a1993655:g:TJMAAeSwAi5o6XtV,https://i.ebayimg.com/images/g/TJMAAeSwAi5o6XtV/s-l225.jpg
gundam,cards,eBay,marketplace,us,100 MIXED Gundam TCG Cards Bulk Lot- C/U/R holos/LR from GD02/GD03/GD04/GD05,15.0,2.99,False,USD,New,https://www.ebay.com/itm/318805143762?_skw=gundam&hash=item4a3a4470d2:g:tkQAAeSwzf9qlaGe,https://i.ebayimg.com/images/g/tkQAAeSwzf9qlaGe/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby SEED Gundam Astray Gold Frame Amatsu Mina RG 1/144 Model Kit USA,40.95,0.0,False,USD,New,https://www.ebay.com/itm/147360893081?_skw=gundam&hash=item224f64c899:g:NzgAAeSwa1Bql1mZ,https://i.ebayimg.com/images/g/NzgAAeSwa1Bql1mZ/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Gundam: Requiem for Vengeance Gundam EX High Grade 1:144 Scale Model Kit,28.51,5.0,False,USD,New,https://www.ebay.com/itm/226658223339?_skw=gundam&hash=item34c5e204eb:g:LCoAAeSw-1lqoIn-,https://i.ebayimg.com/images/g/LCoAAeSw-1lqoIn-/s-l225.jpg
gundam,model_kit,eBay,marketplace,international,Gundam RX-78-2 ENTRY GRADE 1/144 Ukiyo-e Package Ver. Bandai Japan Limited New,32.88,12.9,False,USD,New,https://www.ebay.com/itm/800589730344?_skw=gundam&hash=itemba66ddd228:g:jkEAAeSw0BpqlRbM,https://i.ebayimg.com/images/g/jkEAAeSw0BpqlRbM/s-l225.jpg
gundam,other,eBay,marketplace,international,PSL Gundam Exceed Model Trinity RX-78-2 Premium Gashapon Japan NEW ,96.8,9.9,False,USD,New,https://www.ebay.com/itm/336784513792?_skw=gundam&hash=item4e69ebdb00:g:6VUAAeSwuTZqn7~Z,https://i.ebayimg.com/images/g/6VUAAeSwuTZqn7~Z/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby RB-79 Ball Gundam MS 08th Team MG 1/100 Model Kit USA Seller,36.95,0.0,False,USD,New,https://www.ebay.com/itm/147491802099?_skw=gundam&hash=item2257324bf3:g:WZYAAeSwxONqoXLh,https://i.ebayimg.com/images/g/WZYAAeSwxONqoXLh/s-l225.jpg
gundam,cards,eBay,marketplace,us,GUNDAM TCG FREEDOM ASCENSION GD05 BOOSTER BOX Factory Sealed 24 Packs English,209.95,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/158249625513?_skw=gundam&hash=item24d869a7a9:g:v38AAeSweu9qfdB7,https://i.ebayimg.com/images/g/v38AAeSweu9qfdB7/s-l225.jpg
gundam,cards,eBay,marketplace,us,Gundam Freedom Ascension GD05 BULK Complete Playset (4x Each Card),25.0,,False,USD,Used,https://www.ebay.com/itm/168649610346?_skw=gundam&hash=item27444cd46a:g:tCgAAeSwieZqk7T4,https://i.ebayimg.com/images/g/tCgAAeSwieZqk7T4/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai G Gundam Shining Gundam RG 1/144 Model Kit USA SELLER,37.95,0.0,False,USD,New,https://www.ebay.com/itm/137584913188?_skw=gundam&hash=item2008b32b24:g:04EAAeSwSN9qonvK,https://i.ebayimg.com/images/g/04EAAeSwSN9qonvK/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#6 Z'Gok Mobile Suit Gundam, Bandai Hobby HGUC 1/144",12.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688855?_skw=gundam&hash=item2980a0eb97:g:eFEAAeSwBsFqO~It,https://i.ebayimg.com/images/g/eFEAAeSwBsFqO~It/s-l225.jpg
