category,product_type,site,site_type,ships_from,title,price,shipping,pickup,currency,condition,url,image_url
gundam,model_kit,eBay,marketplace,us,Bandai Hobby After War X Gundam Leopard HG 1/144 Model Kit,36.24,0.0,False,USD,New,https://www.ebay.com/itm/147564874667?_skw=gundam&hash=item225b8d4bab:g:mkkAAeSw-t9qo~Ti,https://i.ebayimg.com/images/g/mkkAAeSw-t9qo~Ti/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby Gundam Stardust Memory HGUC F2 Zaku II EFSF HG 1/144 Model Kit USA,26.95,0.0,False,USD,New,https://www.ebay.com/itm/147542598235?_skw=gundam&hash=item225a39625b:g:2xsAAeSwLgNqo~Tu,https://i.ebayimg.com/images/g/2xsAAeSwLgNqo~Tu/s-l225.jpg
gundam,cards,eBay,marketplace,international,Gundam Card Game ~ EX Base EXBP-032 Amuro & Gundam Promo Card,15.59,0.0,False,USD,Ungraded,https://www.ebay.com/itm/820057878700?_skw=gundam&hash=itembeef4230ac:g:LfwAAeSw6RlqkW42,https://i.ebayimg.com/images/g/LfwAAeSw6RlqkW42/s-l225.jpg
gundam,cards,eBay,marketplace,international,Gundam Card Game EX base Amuro & Gundam EXBP-032 Gundam Ace Promo Japanese,15.5,0.0,False,USD,Ungraded,https://www.ebay.com/itm/168648612863?_skw=gundam&hash=item27443d9bff:g:J9EAAeSwskFqkFny,https://i.ebayimg.com/images/g/J9EAAeSwskFqkFny/s-l225.jpg
gundam,cards,eBay,marketplace,us,Gundam Card Game Newtype Rising GD01 Booster Box  English Sealed,424.99,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/278352212670?_skw=gundam&hash=item40cf15b2be:g:8OIAAeSwhthqnqmT,https://i.ebayimg.com/images/g/8OIAAeSwhthqnqmT/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Gundam Stardust Memory MS-06F-2 Zaku II F2 Zeon HG 1/144 Model Kit USA,34.95,0.0,False,USD,New,https://www.ebay.com/itm/137689626979?_skw=gundam&hash=item200ef0f963:g:5V4AAeSwK4pqoe3L,https://i.ebayimg.com/images/g/5V4AAeSwK4pqoe3L/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,HG 1/144 RX-0 Unicorn Gundam (Unicorn Mode),18.9,4.99,False,USD,New,https://www.ebay.com/itm/336781935973?_skw=gundam&hash=item4e69c48565:g:ig8AAeSwMx5qnavm,https://i.ebayimg.com/images/g/ig8AAeSwMx5qnavm/s-l225.jpg
gundam,cards,eBay,marketplace,us,GUNDAM TCG FREEDOM ASCENSION GD05 BOOSTER BOX Factory Sealed 24 Packs English,209.95,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/158249625513?_skw=gundam&hash=item24d869a7a9:g:v38AAeSweu9qfdB7,https://i.ebayimg.com/images/g/v38AAeSweu9qfdB7/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Gundam 1/144 HGBF #015 Gouf R35 Model Kit,39.99,0.0,False,USD,New,https://www.ebay.com/itm/278360475458?_skw=gundam&hash=item40cf93c742:g:5osAAeSwqg5qoxcz,https://i.ebayimg.com/images/g/5osAAeSwqg5qoxcz/s-l225.jpg
gundam,cards,eBay,marketplace,us,Bandai Gundam TCG Freedom Ascension GD05 Special Booster Bundle 01 English ,375.0,,False,USD,New/Factory Sealed,https://www.ebay.com/itm/198630317729?_skw=gundam&hash=item2e3f4a1ea1:g:sngAAeSwGDJqmzdr,https://i.ebayimg.com/images/g/sngAAeSwGDJqmzdr/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby HGAC XXXG-01D2 Gundam Deathscythe Hell HG 1/144 Scale Model Kit,22.95,0.0,False,USD,New,https://www.ebay.com/itm/137549270934?_skw=gundam&hash=item2006934f96:g:BYQAAeSwU9NqowzS,https://i.ebayimg.com/images/g/BYQAAeSwU9NqowzS/s-l225.jpg
gundam,model_kit,eBay,marketplace,international,Gundam RX-78-2 ENTRY GRADE 1/144 Ukiyo-e Package Ver. Bandai Japan Limited New,32.88,12.9,False,USD,New,https://www.ebay.com/itm/800589730344?_skw=gundam&hash=itemba66ddd228:g:jkEAAeSw0BpqlRbM,https://i.ebayimg.com/images/g/jkEAAeSw0BpqlRbM/s-l225.jpg
