category,site,site_type,title,price,shipping,currency,condition,url
gundam,eBay,marketplace,Bandai Hobby MG 1/100 GUNNER ZAKU WARRIOR  LUNAMARIA HAWKE CUSTOM,75.0,0.0,USD,New,https://www.ebay.com/itm/287468366033?_skw=gundam&hash=item42ee7328d1:g:XIYAAeSw0ZZqWlhh
gundam,eBay,marketplace,Bandai G-Gundam GOD GUNDAM RG 1/144 Model Kit USA Seller,45.95,0.0,USD,New,https://www.ebay.com/itm/137549333057?_skw=gundam&hash=item2006944241:g:U8UAAeSwhthqg~gU
gundam,eBay,marketplace,Bandai Hobby Gundam Wing: Endless Waltz Sandrock Custom EW HG 1/144 Model Kit,49.95,0.0,USD,New,https://www.ebay.com/itm/147468676288?_skw=gundam&hash=item2255d16cc0:g:b98AAeSwfPFqh2lj
gundam,eBay,marketplace,Bandai MG 1/100 XXXG-01D Deathscythe EW (Roussette Unit) Model Kit NEW,88.0,0.0,USD,New,https://www.ebay.com/itm/257693592134?_skw=gundam&hash=item3bffbc2a46:g:vScAAeSwhYZqh4rt
gundam,eBay,marketplace,"#19 Char's Z'Gok Mobile Suit Gundam, Bandai Hobby HGUC 1/144",12.0,0.0,USD,New,https://www.ebay.com/itm/178251688883?_skw=gundam&hash=item2980a0ebb3:g:dFMAAeSwlmBqO~Ii
gundam,eBay,marketplace,Gundam Lot RG 1/144,130.0,15.0,USD,Used,https://www.ebay.com/itm/206506091031?_skw=gundam&hash=item3014b8e217:g:ReoAAeSwo8Jqhwhh
gundam,eBay,marketplace,Bandai 1/144 Gunpla Option Parts Set #11: Smoothbore Gun for Barbatos Gundam,4.41,2.99,USD,New,https://www.ebay.com/itm/404953417636?_skw=gundam&hash=item5e491ac7a4:g:mVoAAeSwcxBprbD~
gundam,eBay,marketplace,"#7 Union Flag Graham Custom Gundam 00, Bandai Hobby HG 00",16.0,0.0,USD,New,https://www.ebay.com/itm/188555189087?_skw=gundam&hash=item2be6c3db5f:g:YBkAAeSwA8BqO~IZ
gundam,eBay,marketplace,"#26 RX-78-02 Gundam Gundam The Origin, Bandai Hobby HG The Origin 1/144",31.0,0.0,USD,New,https://www.ebay.com/itm/187876405694?_skw=gundam&hash=item2bbe4e71be:g:~dkAAeSwS9pqO~GM
gundam,eBay,marketplace,HG 1/144 Gundam Model Kit Parts #02 - Replacement Spare Kitbashing - USA Seller,4.3,,USD,New,https://www.ebay.com/itm/117251015640?_skw=gundam&hash=item1b4cb483d8:g:lLQAAeSwWatqgUFw
gundam,eBay,marketplace,RG 1/144 RX-78-2 Gundam RG 1/144 MS-06S Zaku II Hatsune Miku Ver. Set of 2,170.0,0.0,USD,New,https://www.ebay.com/itm/227364928600?_skw=gundam&hash=item34f0017c58:g:V70AAeSwrWBqGwuX
gundam,eBay,marketplace,HG 1/144 Gundam Lfrith Jiu XGF-01 The Witch From Mercury Model Kit Figure Toy,21.99,0.0,USD,New,https://www.ebay.com/itm/236909488384?_skw=gundam&hash=item3728e7e900:g:ul8AAeSwoaFqROJT&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZgRyKwFlyD5LGmS1OjbJwds1dEqq8rodcyXyXDoSiOWhCCZ%2Bqn2mYYOl8TnanimdPLewnbtZqQM0ifZmUOHM91zqzetaYH8xPUnVHs2cpEID4k4S817BcVKFqy875i%2FttdVoBpGeag35azrJFd2TNVZXlVuZQ5uzAYh7PInRRMZwV1UKu17S1fDVfYs0LN7hn%2BUIqsloxEC3Imk03FooNd6ZRQb7qeQ7apl%2B7CPvIb5BPbPCMU%2BQhvy7xaa93wglsnPKYWEmevR2iRbJPZ6XQE
