category,product_type,site,site_type,ships_from,title,price,shipping,pickup,currency,condition,url,image_url
gundam,model_kit,eBay,marketplace,us,Bandai Hobby Gundam Stardust Memory HGUC F2 Zaku II EFSF HG 1/144 Model Kit USA,26.95,0.0,False,USD,New,https://www.ebay.com/itm/147542598235?_skw=gundam&hash=item225a39625b:g:iu4AAeSwRS5qn~GB,https://i.ebayimg.com/images/g/iu4AAeSwRS5qn~GB/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Gundam MS-09 DOM Master Grade 1/100 MG Unopened Trees,30.0,,False,USD,New,https://www.ebay.com/itm/188892064012?_skw=gundam&hash=item2bfad8290c:g:Zs0AAeSwc8FqnMWm,https://i.ebayimg.com/images/g/Zs0AAeSwc8FqnMWm/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby HGAC XXXG-01D2 Gundam Deathscythe Hell HG 1/144 Scale Model Kit,22.95,0.0,False,USD,New,https://www.ebay.com/itm/137549270934?_skw=gundam&hash=item2006934f96:g:ciYAAeSwrKVqoAMG,https://i.ebayimg.com/images/g/ciYAAeSwrKVqoAMG/s-l225.jpg
gundam,cards,eBay,marketplace,us,2026 Gundam Card Game Storage Box Resource Card Set EVX07 English,139.99,,False,USD,New/Factory Sealed,https://www.ebay.com/itm/178468121128?_skw=gundam&hash=item298d876a28:g:ilMAAeSwDahqn0R8,https://i.ebayimg.com/images/g/ilMAAeSwDahqn0R8/s-l225.jpg
gundam,cards,eBay,marketplace,international,Presale Gundam Card Game ~ EX Base EXBP-033 Char & MSN-02 Zeong Promo Card 9/26,34.99,0.0,False,USD,Ungraded,https://www.ebay.com/itm/407149107183?_skw=gundam&hash=item5ecbfa57ef:g:8s0AAeSwvLhqgd4s,https://i.ebayimg.com/images/g/8s0AAeSwvLhqgd4s/s-l225.jpg
gundam,cards,eBay,marketplace,us,GUNDAM TCG FREEDOM ASCENSION GD05 BOOSTER BOX Factory Sealed 24 Packs English,209.95,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/158249625513?_skw=gundam&hash=item24d869a7a9:g:v38AAeSweu9qfdB7,https://i.ebayimg.com/images/g/v38AAeSweu9qfdB7/s-l225.jpg
gundam,cards,eBay,marketplace,international,Gundam Card Game ~ EX Base EXBP-032 Amuro & Gundam Promo Card,16.49,0.0,False,USD,Ungraded,https://www.ebay.com/itm/820057878700?_skw=gundam&hash=itembeef4230ac:g:LfwAAeSw6RlqkW42,https://i.ebayimg.com/images/g/LfwAAeSw6RlqkW42/s-l225.jpg
gundam,cards,eBay,marketplace,us,100 MIXED Gundam TCG Cards Bulk Lot- C/U/R holos/LR from GD02/GD03/GD04/GD05,15.0,2.99,False,USD,New,https://www.ebay.com/itm/318805143762?_skw=gundam&hash=item4a3a4470d2:g:tkQAAeSwzf9qlaGe,https://i.ebayimg.com/images/g/tkQAAeSwzf9qlaGe/s-l225.jpg
gundam,model_kit,eBay,marketplace,international,PSL Bandai EXCEED MODEL TRINITY RX-78-2 Gundam Complete Set Capsule Toys Gashapo,69.99,16.99,False,USD,New,https://www.ebay.com/itm/327336657352?_skw=gundam&hash=item4c36c901c8:g:4WoAAeSwJm1qlsea,https://i.ebayimg.com/images/g/4WoAAeSwJm1qlsea/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai HGGT Zaku II + Big Gun Set (Gundam Thunderbolt Ver.) 1/144 Model Kit - US,61.95,0.0,False,USD,New,https://www.ebay.com/itm/177850491020?_skw=gundam&hash=item2968b7208c:g:-iAAAeSwcPZpisYb,https://i.ebayimg.com/images/g/-iAAAeSwcPZpisYb/s-l225.jpg
gundam,cards,eBay,marketplace,international,Gundam Card Game EX base Amuro & Gundam EXBP-032 Gundam Ace Promo Japanese,15.99,0.0,False,USD,Ungraded,https://www.ebay.com/itm/168648612863?_skw=gundam&hash=item27443d9bff:g:J9EAAeSwskFqkFny,https://i.ebayimg.com/images/g/J9EAAeSwskFqkFny/s-l225.jpg
gundam,cards,eBay,marketplace,international,Domon Kasshu R GD05-097 Promo V Jump Toyotaro  Gundam Card Game Japanese,7.13,0.0,False,USD,Ungraded,https://www.ebay.com/itm/366623364101?_skw=gundam&hash=item555c749405:g:uIwAAeSwS8tqiqax,https://i.ebayimg.com/images/g/uIwAAeSwS8tqiqax/s-l225.jpg
gundam,cards,eBay,marketplace,us,BASAKOYAMA Gundam Card Game Gundam DX GD04-049 LR+ Foil Unit Card,13.0,,False,USD,Ungraded,https://www.ebay.com/itm/137704387580?_skw=gundam&hash=item200fd233fc:g:VA0AAeSw3EVqnNgY,https://i.ebayimg.com/images/g/VA0AAeSw3EVqnNgY/s-l225.jpg
