category,product_type,site,site_type,ships_from,title,price,shipping,pickup,currency,condition,url,image_url
gundam,model_kit,eBay,marketplace,us,"#64 Zaku I Mobile Suit Gundam, Bandai Hobby HGUC 1/144",15.0,0.0,False,USD,New,https://www.ebay.com/itm/188555189059?_skw=gundam&hash=item2be6c3db43:g:xhUAAeSwSoNqO~E2,https://i.ebayimg.com/images/g/xhUAAeSwSoNqO~E2/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#56 Gundam TR-1 Hazel Custom Advance of Zeta, Bandai Hobby HGUC",19.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688876?_skw=gundam&hash=item2980a0ebac:g:qTAAAeSwFNhqO~Ft,https://i.ebayimg.com/images/g/qTAAAeSwFNhqO~Ft/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"Gundam 0080 #13 Zaku II FZ, Bandai RE/100 [New Toy] Figure, Collectible",43.61,0.0,False,USD,New,https://www.ebay.com/itm/398378895260?_skw=gundam&hash=item5cc13b879c:g:D2YAAeSw14xqoesv,https://i.ebayimg.com/images/g/D2YAAeSw14xqoesv/s-l225.jpg
gundam,cards,eBay,marketplace,us,Gundam TCG - 1st Anniversary Event Pack,90.0,0.0,False,USD,New/Factory Sealed,https://www.ebay.com/itm/206562106807?_skw=gundam&hash=item30180f9db7:g:6SEAAeSwKcBqqzkZ,https://i.ebayimg.com/images/g/6SEAAeSwKcBqqzkZ/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#270 Gundam Leopard Mobile Suit Gundam X, Bandai Hobby HG 1/144",29.0,0.0,False,USD,New,https://www.ebay.com/itm/188555189166?_skw=gundam&hash=item2be6c3dbae:g:eGgAAeSwQKZqO~GC,https://i.ebayimg.com/images/g/eGgAAeSwQKZqO~GC/s-l225.jpg
gundam,cards,eBay,marketplace,us,A Show of Resolve U GD01-100 PR - Gundam Card Game  English,180.0,0.0,False,USD,Ungraded,https://www.ebay.com/itm/398386680157?_skw=gundam&hash=item5cc1b2515d:g:8hQAAeSw4~BqpPuc,https://i.ebayimg.com/images/g/8hQAAeSw4~BqpPuc/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#32 Nu Gundam Char's Counterattack, Bandai Hobby RG 1/144",56.0,0.0,False,USD,New,https://www.ebay.com/itm/188555189274?_skw=gundam&hash=item2be6c3dc1a:g:eUAAAeSw8n5qO~Fg,https://i.ebayimg.com/images/g/eUAAAeSw8n5qO~Fg/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Gundam: Requiem for Vengeance Gundam EX High Grade 1:144 Scale Model Kit,28.51,5.0,False,USD,New,https://www.ebay.com/itm/226658223339?_skw=gundam&hash=item34c5e204eb:g:LCoAAeSw-1lqoIn-,https://i.ebayimg.com/images/g/LCoAAeSw-1lqoIn-/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby Zeta Gundam #56 RX121-1 TR-1 Hazel Custom HGUC HG 1/144 Model Kit,24.95,0.0,False,USD,New,https://www.ebay.com/itm/147574027961?_skw=gundam&hash=item225c18f6b9:g:l8EAAeSwp-ZqqrEG,https://i.ebayimg.com/images/g/l8EAAeSwp-ZqqrEG/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#36 The-O Z Gundam, Bandai Hobby HGUC",33.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688938?_skw=gundam&hash=item2980a0ebea:g:kj8AAeSw0-1qO~G2,https://i.ebayimg.com/images/g/kj8AAeSw0-1qO~G2/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#107 MS-06F-2 Zaku II F2 (EFSF Ver.) Gundam 0083, Bandai Hobby HGUC",20.0,0.0,False,USD,New,https://www.ebay.com/itm/188555189091?_skw=gundam&hash=item2be6c3db63:g:ZScAAeSweM5qO~Gu,https://i.ebayimg.com/images/g/ZScAAeSweM5qO~Gu/s-l225.jpg
gundam,cards,eBay,marketplace,us,Bandai Gundam Card Game 1st Anniversary Event Pack English Sealed 1 Pack,95.0,,False,USD,New/Factory Sealed,https://www.ebay.com/itm/820136765463?_skw=gundam&hash=itembef3f5e817:g:26sAAeSw8SBqqMNG,https://i.ebayimg.com/images/g/26sAAeSw8SBqqMNG/s-l225.jpg
gundam,cards,eBay,marketplace,us,GUNDAM TCG- WING GUNDAM ZERO(EW)-GD05-067-LR-HOLO,3.49,1.25,False,USD,Ungraded,https://www.ebay.com/itm/366661205287?_skw=gundam&hash=item555eb5fd27:g:nWAAAeSwBO5qjGQ9,https://i.ebayimg.com/images/g/nWAAAeSwBO5qjGQ9/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Standard Hello Kitty x RX-78-2 Gundam Figure Model Kit USA Seller,29.99,0.0,False,USD,New,https://www.ebay.com/itm/336790532052?_skw=gundam&hash=item4e6a47afd4:g:UiAAAeSwFXJqpPP7&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGZiqQBo4IePJbD3ABSqiPxIAN6R84NNWYZtmd4w3mIewWFr%2FdXwiOyepqfKljGR8FqKKvIUKLXWaF7qgXmLFnkIMp3UaXNdCIJyk4mTY9Yf2xfFNYIU0nUf4%2BbtBQyqBtGxYUAADDlqZPTds0aHXIl7eKJMnTcyCt7ypMJ%2FN7vZI2fWSUhjIwEyd76x1kFGz7T1mwzwKbNJpEiEokFfdn44O54ERNdWV0Xgv%2BbaiWDj%2BsyO2ie9evPjhyeJOo4jb%2FVOOCKMajMXH%2F7f%2F4Av5m4p,https://i.ebayimg.com/images/g/UiAAAeSwFXJqpPP7/s-l225.jpg
gundam,model_kit,eBay,marketplace,international,SD Gundam Part 7 Box Carddas 20 New Unused Unopened Original Vintage Rare,180.0,0.0,False,USD,New,https://www.ebay.com/itm/407209283641?_skw=gundam&hash=item5ecf909039:g:Ui0AAeSwf9tqqqtm&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGbnG8u6koNBLDe2L63Wm7Ju7bR397ot2YWRrns1mspkKWmdcobqX2RgX%2Fe8%2FAk18dbW1j3SbLLds7BaTdqVxvqKU9cCSyGKvzVzleNsiOU96zrpwXd6czVO4tilovdwGH9FB1nX0D2t8xW2dnNxZp2FPlZ6tM571DhNtrZ1UD97R%2FGqEohe32o3sefMBZhGIzis9ln%2FnmkL%2FeTtSz8MaF1g61txhQKltW3BTK4HwMpJVfkIMLrGINS2XiFJJw5x2dOevMxbSUtVd1szn%2FOCp6wN,https://i.ebayimg.com/images/g/Ui0AAeSwf9tqqqtm/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,BAN2091785 Bandai Gundam: High Grade: Universal Century: 1/144: Loto Twin Set,30.81,0.0,False,USD,New,https://www.ebay.com/itm/168641564452?_skw=gundam&hash=item2743d20f24:g:4dQAAeSwbr9qj0UY&amdata=enc%3AAQALAAAA4ACCtXRWQnOEpyOqnQQ8KGaSP0Bhsmpgd9WqbJgrA5E%2BWkvofaESc4bqWO1gveyDcZuWF0aMf%2BBdPRwhFK5DPHdN5sjingLklFo7jFXnxrbn0732mW23LPAWZk9Z%2BbYQj5iG5GwJtEQRDiGJpy%2FPZPo6jJl4LxHWu3dYJ4ceXDfxpjOeWlorj9dLIt8k8t6rjRp6uUxvzmsJd1y39oxKWwnsMKZ3Q0cB0L7gcQFUTIJQOaXZA2uk8Sjcv2kr%2BqbZwhb%2FnQ77BPNtnHNWyERLQ9rmXP90zCz4R9HsIPh0gRA2,https://i.ebayimg.com/images/g/4dQAAeSwbr9qj0UY/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby Gundam Stardust Memory HGUC F2 Zaku II EFSF HG 1/144 Model Kit USA,26.95,0.0,False,USD,New,https://www.ebay.com/itm/137734088200?_skw=gundam&hash=item2011976608:g:WBAAAeSwnnJqqtUy,https://i.ebayimg.com/images/g/WBAAAeSwnnJqqtUy/s-l225.jpg
gundam,model_kit,eBay,marketplace,international,Gundam Base Fukuoka Limited RG 1/144 RX-93ff ν Gundam plastic model Kit Japan,71.99,0.0,False,USD,New,https://www.ebay.com/itm/394085206840?_skw=gundam&hash=item5bc14f0b38:g:2iQAAOSw8GRnLO16,https://i.ebayimg.com/images/g/2iQAAOSw8GRnLO16/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"Gundam UC #30 Full Armor Gundam Unicorn, Bandai RG 1/144 [New Toy] Figure, Col",52.08,0.0,False,USD,New,https://www.ebay.com/itm/198324342618?_skw=gundam&hash=item2e2d0d4f5a:g:jAMAAeSwm6Zp9UfI,https://i.ebayimg.com/images/g/jAMAAeSwm6Zp9UfI/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai Hobby HGAC XXXG-01D2 Gundam Deathscythe Hell HG 1/144 Scale Model Kit,22.95,0.0,False,USD,New,https://www.ebay.com/itm/137549270934?_skw=gundam&hash=item2006934f96:g:3A4AAeSwLB5qqyKa,https://i.ebayimg.com/images/g/3A4AAeSwLB5qqyKa/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#55 HI-Zack (EFSF) Z Gundam, Bandai Hobby HGUC",15.0,0.0,False,USD,New,https://www.ebay.com/itm/178251688885?_skw=gundam&hash=item2980a0ebb5:g:v1EAAeSwlU9qO~Gr,https://i.ebayimg.com/images/g/v1EAAeSwlU9qO~Gr/s-l225.jpg
gundam,cards,eBay,marketplace,us,Gundam Card Game Official Playmat & Card Set 00 Gundam Ex Resource *ENGLISH*,190.0,,False,USD,New,https://www.ebay.com/itm/117413859334?_skw=gundam&hash=item1b56695006:g:VRoAAeSwfEZqqIeN,https://i.ebayimg.com/images/g/VRoAAeSwfEZqqIeN/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,Bandai HGGBM 10 Gundam 00 Command Qan[T] (Desert Type) 1/144 Model Kit - US,28.95,0.0,False,USD,New,https://www.ebay.com/itm/187761652122?_skw=gundam&hash=item2bb777719a:g:ZH4AAeSwh5ZpH-F1,https://i.ebayimg.com/images/g/ZH4AAeSwh5ZpH-F1/s-l225.jpg
gundam,model_kit,eBay,marketplace,us,"#113 RGM-79C GM Type C Gundam 0083, Bandai Hobby HGUC",18.0,0.0,False,USD,New,https://www.ebay.com/itm/188555189121?_skw=gundam&hash=item2be6c3db81:g:hsgAAeSwEiJqO~Hd,https://i.ebayimg.com/images/g/hsgAAeSwEiJqO~Hd/s-l225.jpg
gundam,cards,eBay,marketplace,us,Bandai Namco Gundam Card Game 1st Anniversary Event Pack English Promo,99.99,5.17,False,USD,New/Factory Sealed,https://www.ebay.com/itm/188939144973?_skw=gundam&hash=item2bfda68f0d:g:bFEAAeSwmXNqqtPH,https://i.ebayimg.com/images/g/bFEAAeSwmXNqqtPH/s-l225.jpg
